,participant_id,path_num,person_robot,turn_num,start_idx,end_idx,walking_direction_lag,walking_direction_base_corr,walking_direction_lagged_corr,walking_direction_dtw,speeds_lag,speeds_base_corr,speeds_lagged_corr,speeds_dtw,mean_distance,mean_speed_difference,mean_walking_direction_difference,mean_pace_asymmetry
4,407,2,person,3,400,431,0,0.6795826927419634,0.6795826927419634,20.96104973661424,-4,0.505109961095921,0.6969858981484257,10.673369129280704,1.8574782369388652,0.30151612903225805,37.46575627307746,0.40450598905345886
5,407,2,person,4,649,686,-2,0.5069262421275422,0.5175047579918068,27.650006739940487,-10,-0.029272514562227608,0.6531389619409752,37.78455815144898,1.7665031466735424,0.33156756756756756,65.15793041297917,0.3718637041431547
6,407,2,robot,1,82,141,-18,-0.49058645232738035,0.317564485149276,83.8198015395516,28,0.0761745556357765,0.2570543350182482,48.83524457420039,3.4214563489033134,0.6876610169491525,55.35337642551594,0.627709343542139
7,407,2,robot,2,297,355,9,0.5180606222249817,0.6873076702689036,34.107191927866545,-45,-0.6639300060543516,0.3309364000360435,57.0074166575373,3.7601579632578437,0.7976379310344826,84.34201212245584,0.7508989624305878
8,407,2,robot,3,405,430,0,0.6645332355610301,0.6645332355610301,19.06458392287764,-4,0.34628301231132474,0.5260983542663226,10.222585272635389,1.7584035335377017,0.32616,42.883865889250686,0.4730067153900864
9,407,2,robot,4,706,749,-26,-0.6643773471137556,0.46492676767653734,79.71824476937022,39,0.0012114972661540874,0.32559953871364145,35.314095454998316,3.3665748657207213,0.41232558139534875,64.13225968367126,0.5114788406326155
10,407,3,person,1,91,117,0,0.6075092388894199,0.6075092388894199,15.759295471437989,-3,0.4721562479648529,0.7069487912765324,16.258685054722616,2.837806505665642,0.20992307692307693,43.60023429536878,0.17314709031188483
11,407,3,person,2,257,294,0,0.7157576889802091,0.7157576889802091,22.015911181911967,0,0.38558010738324144,0.38558010738324144,33.683484352559205,2.423537271192054,0.5559189189189189,48.11007656917817,0.6783126612243022
12,407,3,person,3,317,342,13,-0.6522185969254598,0.4264963874407383,36.53615717860983,0,0.7556595806461983,0.7556595806461983,10.451859637440656,1.1431395622221163,0.20200000000000004,44.31878230965981,0.347142345558014
13,407,3,robot,1,93,117,0,0.5981383224693387,0.5981383224693387,13.90836383999345,-2,0.44483294734061446,0.6703546789060209,16.808180901208424,2.8221503053929786,0.21108333333333332,45.67435944855791,0.17765383283525696
14,407,3,robot,2,250,312,0,0.6210338091704415,0.6210338091704415,45.83362041235553,-1,0.436231215933755,0.4392330868393622,50.85872312541298,2.147283896688229,0.45527419354838705,37.557363191332385,0.49311169390142945
15,407,3,robot,3,315,375,16,-0.5416401056622926,0.2718632493210639,73.4949232064051,0,0.44032050735825357,0.44032050735825357,25.9970825965319,0.8664721992187108,0.31869999999999993,50.20809581844672,0.43697844458675567
16,408,2,person,1,369,452,2,0.46390130531976614,0.47331043381451093,69.04417074208416,-1,0.6494518354789043,0.696274224646985,43.967155808604986,3.652369015444516,0.18583132530120483,42.580513177274504,0.3176798200696701
17,408,2,person,2,576,604,8,-0.3873839375589326,0.35586778226435395,30.406115773380233,0,0.5718895682236975,0.5718895682236975,22.171046939850022,1.1490555150984318,0.29475,82.11734649443692,0.5353675741943233
18,408,2,person,3,687,713,-6,-0.1920429062558986,0.6542835621038263,17.174874516332913,-4,0.34101482454578047,0.44753015589381673,15.425918369631848,2.5481189983793966,0.28338461538461535,49.14068079242298,0.37840349272868623
